,title,year,doi
55,detection of protein conformation defects from fluorescence microscopy images,2013,10.1016/j.engappai.2013.05.007
56,automatic differential diagnosis of pancreatic serous and mucinous cystadenomas based on morphological features,2013,10.1016/j.compbiomed.2012.10.009
57,histology image analysis for carcinoma detection and grading,2012,10.1016/j.cmpb.2011.12.007
58,investigation of different neural models for blood cell type identification,2012,10.1007/s00521-010-0476-3
59,cell morphology classification and clutter mitigation in phase-contrast microscopy images using machine learning,2012,10.1007/s00138-011-0345-9
60,a surface-based 3-d dendritic spine detection approach from confocal microscopy images,2012,10.1109/TIP.2011.2166973
61,segmentation of nerve fibers using multi-level gradient watershed and fuzzy systems,2012,10.1016/j.artmed.2011.11.008
62,automatic classification of cells and intercellular spaces of apple tissue,2012,10.1016/j.compag.2011.11.006
63,content-based histopathology image retrieval using a kernel-based semantic annotation framework,2011,10.1016/j.jbi.2011.01.011
64,autofocusing in digital holographic microscopy,2011,10.1007/3DRes.01(2011)4
65,optimization of the preparation process for an oral phytantriol-based amphotericin b cubosomes,2011,10.1155/2011/308016
66,reconstruction of the neuromuscular junction connectome,2010,10.1093/bioinformatics/btq179
67,an image score inference system for rnai genome-wide screening based on fuzzy mixture regression modeling,2009,10.1016/j.jbi.2008.04.007
68,trajectory fusion for three-dimensional volume reconstruction,2008,
69,accuracy evaluation for region centroid-based registration of fluorescent clsm imagery,2006,10.1155/ASP/2006/82480
70,error estimation of geometrical data obtained by histomorphometry of oblique vessel sections: a computer model study,2005,10.1016/j.compbiomed.2004.07.003
71,wavelet-based multiscale texture segmentation: application to stromal compartment characterization on virtual slides,2010,10.1016/j.sigpro.2009.11.008
72,performance of polarization-based stereoscopy screens,2012,10.1007/3DRes.04(2012)4
73,characterization of zno and zno: al films deposited by mocvd on oriented and amorphous substrates,2009,10.1016/j.mejo.2008.09.003
74,quantitative characterisation of plasmodium vivax in infected erythrocytes: a textural approach,2013,10.1504/IJAISC.2013.053384
75,dimensionality reduction on multi-dimensional transfer functions for multi-channel volume data sets,2010,10.1057/ivs.2010.6
76,statistical analysis of textural features for improved classification of oral histopathological images,2012,10.1007/s10916-010-9550-8
77,round-robin sequential forward selection algorithm for prostate cancer classification and diagnosis using multispectral imagery,2011,10.1007/s00138-010-0292-x
78,novel round-robin tabu search algorithm for prostate cancer classification and diagnosis using multispectral imagery,2006,10.1109/TITB.2006.879596
79,measurement of spreading characteristics of molecularly thin lubricant films over grooved solid surfaces based on diffraction simulations,2007,
80,well-aligned iro2 nanocrystals,2007,10.1155/2007/84845
81,an ivus image-based approach for improvement of coronary plaque characterization,2013,10.1016/j.compbiomed.2012.12.008
82,nanomanufacturing of random branching material architectures,2009,10.1016/j.mee.2009.02.024
83,interactive diffraction from biological nanostructures,2014,10.1111/cgf.12425
84,effect of thin gold interlayer on the electrical and dielectrical behaviors of ito/meh-ppv/al structures,2014,10.1016/j.mee.2014.06.021
85,viper: simulation software for high aspect ratio plasma etching of silicon,2014,10.1007/s00542-013-1926-5
86,ovaspec - a vision-based instrument for assessing concentration and developmental stage of trichuris suis parasite egg suspensions,2014,10.1016/j.compbiomed.2014.07.009
87,influence of energy deposition on characteristics of nanopowders synthesized by electrical explosion of aluminum wire in the argon gas,2014,10.1109/TNANO.2014.2325212
88,an efficient approach to an automatic detection of erythemato-squamous diseases,2014,10.1007/s00521-013-1452-5
89,cell cycle phase detection with cell deformation analysis,2014,10.1016/j.eswa.2013.10.055
90,a new computational approach to cracks quantification from 2d image analysis,2014,10.1016/j.cageo.2014.01.007
91,characterization and photovoltaic performance of organic device based on comtpp/p-si heterojunction,2014,10.1016/j.mee.2013.10.008
92,utilizing microscopic traffic and weather data to analyze real-time crash patterns in the context of active traffic management,2014,10.1109/TITS.2013.2276089
93,sub-10nm patterning by focused he-ion beam milling for fabrication of downscaled graphene nano devices,2014,10.1016/j.mee.2013.09.018
94,rotation-invariant hog descriptors using fourier analysis in polar and spherical coordinates,2014,10.1007/s11263-013-0634-z
95,detection of triphenylmethane drugs in fish muscle by surface-enhanced raman spectroscopy coupled with au-ag core-shell nanoparticles,2014,10.1155/2014/730915
96,experimental investigation of the coprecipitation method: an approach to obtain magnetite and maghemite nanoparticles with improved properties,2014,10.1155/2014/682985
97,large-scale synthesis of silver nanoparticles by aqueous reduction for low-temperature sintering bonding,2014,10.1155/2014/594873
98,"synthesis of novel ybxsb2 − xte3 hexagonal nanoplates: investigation of their physical, structural, and photocatalytic properties",2014,10.1155/2014/452659
99,evaluation of osseointegration ability of porous polyethylene implant (medpor) treated with chitosan,2014,10.1155/2014/415929
100,a stochastic algorithm based on fast marching for automatic capacitance extraction in non-manhattangeometries,2014,10.1137/140961328
101,influence of deposition time on the microstructure and dielectric properties of aln/si thin films for enhanced hydrogen sensing application,2014,10.1016/j.mee.2013.07.002
102,quantitative analysis of hepatic cell morphology and migration in response to nanoporous and microgrooved surface structures,2013,10.1016/j.mee.2013.04.009
103,2d plasmonic gold nano-patches for linear and nonlinear applications,2013,10.1016/j.mee.2013.03.172
104,sub-25nm direct write (maskless) x-ray nanolithography,2013,10.1016/j.mee.2013.03.006
105,mass spectrometry techniques in the context of nanometrology,2013,10.1016/j.mee.2013.01.043
106,fe-doped la0.5sr0.5tio3 nanopowders prepared by hydrothermal method,2013,10.1016/j.mee.2013.01.024
107,wear characterization of carbon nanotubes reinforced polymer gears,2013,10.1109/TNANO.2013.2264902
108,directional histogram ratio at random probes: a local thresholding criterion for capillary images,2013,10.1016/j.patcog.2013.01.011
109,electrical characterization of cr schottky contacts on undoped and ni-doped p-zno films grown by pulsed laser deposition on si (100) substrates,2013,10.1016/j.mee.2012.11.021
110,on characteristics of pore size distribution in hybrid pulse anodized high-aspect-ratio aluminum oxide with taguchi method,2013,10.1007/s00542-012-1633-7
111,objective improvement of the visual quality of ion microscope images,2013,10.1016/j.mee.2012.02.010
112,fluoroalkylsilane versus alkylsilane as hydrophobic agents for silica and silicates,2013,10.1155/2013/631938
113,bulk synthesis and characterization of ti3al nanoparticles by flow-levitation method,2013,10.1155/2013/569537
114,flame-made pt-loaded tio2 thin films and their application as h2 gas sensors,2013,10.1155/2013/497318
115,constructing novel fiber reinforced plastic (frp) composites through a biomimetic approach: connecting glass fiber with nanosized boron nitride by polydopamine coating,2013,10.1155/2013/470583
116,synthesis and characterisation of calcium carbonate aragonite nanocrystals from cockle shell powder (anadara granosa),2013,10.1155/2013/398357
117,effect of annealing on the zns nanocrystals prepared by chemical precipitation method,2013,10.1155/2013/351798
118,"fabrication, characterization, and antimicrobial activity, evaluation of low silver concentrations in silver-doped hydroxyapatite nanoparticles",2013,10.1155/2013/194854
119,fabrication and corrosion resistance of superhydrophobic hydroxide zinc carbonate film on aluminum substrates,2013,10.1155/2013/139768
120,complex local phase based subjective surfaces (clapss) and its application to dic red blood cell image segmentation,2013,10.1016/j.neucom.2012.06.015
121,macroscopic definition of distributed swarm morphogenesis,2012,10.1080/09540091.2013.795931
122,diagnosis at the microscope: a workplace study of histopathology,2012,10.1007/s10111-011-0182-7
123,a new method for automated detection and identification of neurons in microscopic images of brain slices,2012,10.1134/S1054661812040153
124,wetting effects in hair simulation,2012,10.1111/j.1467-8659.2012.03191.x
125,pseudo three-dimensional vision-based nail-fold morphological and hemodynamic analysis,2012,10.1016/j.compbiomed.2012.06.001
126,segmentation of cervical cell nuclei in high-resolution microscopic images,2012,10.1016/j.cmpb.2011.09.017
127,semantic integration of physiology phenotypes with an application to the cellular phenotype ontology,2012,10.1093/bioinformatics/bts250
128,decellularized ovine esophageal mucosa for esophageal tissue engineering,2012,
129,mytoe,2012,10.1093/bioinformatics/bts073
130,self-formation of nanoporous polymeric materialsin photopolymerizable composition with nonpolymerizable components,2012,10.3103/S1060992X12010067
131,software for the geometric characterisation of insect-proof screens,2012,10.1016/j.compag.2012.01.001
132,growth of silver nanoparticles by dc magnetron sputtering,2012,10.1155/2012/963609
133,study of structural and optical properties of zinc oxide rods grown on glasses by chemical spray pyrolysis,2012,10.1155/2012/950793
134,preparation and characterization of alumina nanoparticles in deionized water using laser ablation technique,2012,10.1155/2012/819403
135,optical characterization of chemically etched nanoporous silicon embedded in sol-gel matrix,2012,10.1155/2012/713203
136,structural characterisation of zno particles obtained by the emulsion precipitation method,2012,10.1155/2012/656353
137,landmark optimization using local curvature for point-based nonlinear rodent brain image registration,2012,10.1155/2012/635207
138,formation of mesoporous materials from silica dissolved in various naoh concentrations: effect of ph and ionic strength,2012,10.1155/2012/528174
139,characteristics of ingan-based light-emitting diodes on patterned sapphire substrates with various pattern heights,2012,10.1155/2012/346915
140,research spotlights,2012,10.1137/120973263
141,hierarchical stochastic homogenization analysis of a particle reinforced composite material considering non-uniform distribution of microscopic random quantities,2011,10.1007/s00466-011-0604-7
142,finite dose skin penetration: a comparison of concentration-depth profiles from experiment and simulation,2011,10.1007/s00791-012-0186-8
143,detection of changes in cell membrane structures using the bioimprint technique,2011,10.1016/j.mee.2010.12.069
144,ga droplet surface dynamics during langmuir evaporation of gaas,2011,10.1147/JRD.2011.2158762
145,vehicular mobility simulation with vanetmobisim,2011,10.1177/0037549709345997
146,epitaxial growth of dy2o3 thin films on epitaxial dy-germanide films on ge(001) substrates,2011,10.1016/j.mee.2010.11.028
147,scanning tunneling microscopy study of the interfacial bonding structures of ga2o and in2o/in0.53ga0.47as(001),2011,10.1016/j.mee.2010.10.023
148,optimizing minimum and maximum green time settings for traffic actuated control at isolated intersections,2011,10.1109/TITS.2010.2070795
149,original paper: segmentation of pores in wood microscopic images based on mathematical morphology with a variable structuring element,2011,10.1016/j.compag.2010.11.010
150,carbide nanoparticles encapsulated in the caves of carbon nanotubes by an in situ reduction-carbonization route,2011,10.1155/2011/987530
151,estimating cell count and distribution in labeled histological samples using incremental cell search,2011,10.1155/2011/874702
152,preparation and characterization of self-emulsified docetaxel,2011,10.1155/2011/860376
153,deposition of pedot: pss nanoparticles as a conductive microlayer anode in oleds device by desktop inkjet printer,2011,10.1155/2011/606714
154,large-scale synthesis and self-assembly of monodisperse spherical tio2nanocrystals,2011,10.1155/2011/526246
155,segmentation of endothelial cell boundaries of rabbit aortic images using a machine learning approach,2011,10.1155/2011/270247
156,enhancement of oral bioavailability of puerarin by polybutylcyanoacrylate nanoparticles,2011,10.1155/2011/126562
157,shiraz: an automated histology image annotation system for zebrafish phenomics,2011,10.1007/s11042-010-0638-4
158,short note: an easy-to-use program for the determination of common opaque minerals,2010,10.1016/j.cageo.2010.06.003
159,estimating the duration of overlapping events from image sequences using cylindrical temporal boolean models,2010,10.1007/s10851-010-0214-6
160,direct tip shape determination of a berkovich indenter: effect on nanomechanical property measurement and description of a worn indenter,2010,10.1109/TNANO.2009.2030888
161,classification of mycobacterium tuberculosis in images of zn-stained sputum smears,2010,10.1109/TITB.2009.2028339
162,as-rigid-as-possible mosaicking and serial section registration of large sstem datasets,2010,10.1093/bioinformatics/btq219
163,design and implementation of a bistable microcantilever actuator for magnetostatic latching relay,2010,10.1016/j.mejo.2010.03.006
164,a general methodology for the determination of 2d bodies elastic deformation invariants: application to the automatic identification of parasites,2010,10.1109/TPAMI.2009.70
165,replication of cancer cells using soft lithography bioimprint technique,2010,10.1016/j.mee.2009.12.068
166,influence of crystallization temperature on inp ring-shaped quantum-dot molecules grown by droplet epitaxy,2010,10.1016/j.mee.2009.11.152
167,motility of bacteria in microfluidic structures,2010,10.1016/j.mee.2009.11.080
168,pores resolving simulation of darcy flows,2010,10.1016/j.jcp.2009.12.031
169,preparation and characterization of self-assembled nanoparticles of hyaluronic acid-deoxycholic acid conjugates,2010,10.1155/2010/906936
170,three-dimensional morphometry of single endothelial cells with substrate stretching and image-based finite element modeling,2010,10.1155/2010/616091
171,"thermoplastic polyurethane elastomer nanocomposites: morphology, thermophysical, and flammability properties",2010,10.1155/2010/583234
172,multiscale hybrid micro-nanocomposites based on carbon nanotubes and carbon fibers,2010,10.1155/2010/453420
173,characterization of licoo2nanopowders produced by sol-gel processing,2010,10.1155/2010/104012
174,"fabrication of optically smooth, through-wafer silicon molds for pdms total internal reflection-based devices",2009,
175,fast backscattering parameter determination in e-beam lithography with a modified doughnut test,2009,10.1016/j.mee.2009.05.002
176,automated classification of cells in sub-epithelial connective tissue of oral sub-mucous fibrosis-an svm based approach,2009,10.1016/j.compbiomed.2009.09.004
177,feature-based registration of histopathology images with different stains: an application for computerized follicular lymphoma prognosis,2009,10.1016/j.cmpb.2009.04.012
178,a simple method for measuring si-fin sidewall roughness by afm,2009,10.1109/TNANO.2009.2021064
179,fuzzy scaling analysis of a mouse mutant with brain morphological changes,2009,10.1109/TITB.2009.2019638
180,comparative study between conventional macroscopic iv techniques and advanced afm based methods for electrical characterization of dielectrics at the nanoscale,2009,10.1016/j.mee.2009.03.094
181,a method based on rank-ordered filter to detect edges in cellular image,2009,10.1016/j.patrec.2008.12.009
182,gold nanoparticle superlattices self-assembled at a solid/liquid interface,2009,10.1016/j.mee.2009.01.018
183,macro-informatics of cognition and its application for design,2009,10.1016/j.aei.2008.10.004
184,formation and nonvolatile memory application of ge nanocrystals by using internal competition reaction of  \hbox {si,2009,10.1109/TNANO.2008.2005728
185,bayesian image recovery for dendritic structures under low signal-to-noise conditions,2009,10.1109/TIP.2008.2010212
186,a note on bias due to fitting prospective multivariate generalized linear models to categorical outcomes ignoring retrospective sampling schemes,2009,10.1016/j.jmva.2008.05.011
187,synthesize and characterization of hollow boron-nitride nanocages,2009,10.1155/2009/264026
188,estimation of errors introduced by confocal imaging into the data on segmentation gene expression in drosophila,2009,10.1093/bioinformatics/btn620
189,morphology and growth mechanism of aligned zno nanorods grown by catalyst-free mocvd,2009,10.1016/j.mejo.2008.07.019
190,recognition and classification of colon cells applying the ensemble of classifiers,2009,10.1016/j.compbiomed.2008.12.001
191,preparation and characterization of nio nanoparticles by anodic arc plasma method,2009,10.1155/2009/795928
192,a novel cell segmentation method and cell phase identification using markov model,2009,10.1109/TITB.2008.2007098
193,an expert diagnosis system for classification of human parasite eggs based on multi-class svm,2009,10.1016/j.eswa.2007.09.012
194,using its to improve the capacity of freeway merging sections by transferring freight vehicles,2008,10.1109/TITS.2008.2006812
195,capability-enhanced microscopic simulation with real-time traffic signal control,2008,10.1109/TITS.2008.2006770
196,efficiently finding unusual shapes in large image databases,2008,10.1007/s10618-008-0094-1
197,physical properties in thin films of iron oxides,2008,10.1016/j.mejo.2008.01.054
198,electric field-enhanced metal-induced lateral crystallization and p-channel poly-si tfts fabricated by it,2008,10.1016/j.mejo.2008.01.084
199,a robust technique based on invariant moments - anfis for recognition of human parasite eggs in microscopic images,2008,10.1016/j.eswa.2007.07.020
200,a hafnium interlayer method to improve the thermal stability of nisi film,2008,10.1016/j.mee.2008.04.026
201,reconstruction of cellular biological structures from optical microscopy data,2008,10.1109/TVCG.2008.30
202,local oxidation of titanium films by non-contact atomic force microscopy,2008,10.1016/j.mee.2008.03.013
203,calculation of effective pore diameters in porous filtration membranes with image analysis,2008,10.1016/j.rcim.2007.02.023
204,semantic content analysis and annotation of histological images,2008,10.1016/j.compbiomed.2008.02.004
205,stxxl: standard template library for xxl data sets,2008,
206,"a comparative study of desktop, fishtank, and cave systems for the exploration of volume rendered confocal data sets",2008,10.1109/TVCG.2007.70433
207,fabrication of nano-gold islands with µm spacing using 2.5 dimensional pdms stamps,2008,10.1016/j.mee.2008.01.039
208,manufacturing substrate nano-grooves for studying cell alignment and adhesion,2008,10.1016/j.mee.2008.01.028
209,automated identification of analyzable metaphase chromosomes depicted on microscopic digital images,2008,10.1016/j.jbi.2007.06.008
210,frequency tuning afm optical levers using a slot,2008,
211,formation and characterization of surface metal nanostructures with tunable optical properties,2008,
212,porous sic layers on si nanowire surface,2008,10.1016/j.mejo.2007.07.069
213,the proportionator: unbiased stereological estimation using biased automatic image analysis and non-uniform probability proportional to size sampling,2008,10.1016/j.compbiomed.2007.11.002
214,chitosan derivatives/calcium carbonate composite capsules prepared by the layer-by-layer deposition method,2008,10.1155/2008/185632
215,a method for linking computed image features to histological semantics in neuropathology,2007,10.1016/j.jbi.2007.06.007
216,using evolvable genetic cellular automata to model breast cancer,2007,10.1007/s10710-007-9042-x
217,structural and electrical characterization of carbon nanofibers for interconnect via applications,2007,10.1109/TNANO.2007.907400
218,on the classification of prostate carcinoma with methods from spatial statistics,2007,10.1109/TITB.2006.888703
219,"morphological colour operators in totally ordered lattices based on distances: application to image filtering, enhancement and analysis",2007,10.1016/j.cviu.2006.11.008
220,spin-coated pmma films,2007,10.1016/j.mejo.2007.04.019
221,investigation of si/sige/si heterostructure implanted by h ion and annealed in vacuum and dry o2 ambient,2007,10.1016/j.mejo.2007.04.002
222,image registration of sectioned brains,2007,10.1007/s11263-006-9780-x
223,drie based novel technique for afm probes fabrication,2007,10.1016/j.mee.2007.01.078
224,quantitative analysis of thin film compositions using eftem combined with rbs and erda,2007,10.1016/j.mee.2006.10.089
225,applications of quantitative image analysis to the description of the morphology of zro2 including 10% eu3+ and their polyurethane nanocomposites,2007,10.1016/j.mee.2006.10.078
226,preparation of defined structures on very thin foils for characterization of afm probes,2007,10.1016/j.mee.2006.10.077
227,scanning capacitance microscopy and the role of localized charges in dielectric films: infering or challenging?,2007,10.1016/j.mee.2006.10.061
228,identification of transcrystalline microcracks observed in microscope images of a dolomite structure using image analysis methods based on linear structuring element processing,2007,10.1016/j.cageo.2006.07.004
229,formation of self-assembled sidewall nanowires on shallow patterned gaas (100),2007,10.1109/TNANO.2006.886774
230,microscopic origin of casimir-polder forces,2006,10.1007/s11080-006-9024-0
231,catalyst-free gan nanorods grown by metalorganic molecular beam epitaxy,2006,10.1109/TNANO.2006.874055
232,identification of material and geometrical parameters for microstructures by dynamic finite element model updating,2006,10.1007/s00542-006-0110-6
233,mechanical strength and microstructure of stabilor-g® and zro2 microspecimens,2006,
235,a segmentation-free biometric writer verification method based on continuous dynamic programming,2006,10.1016/j.patrec.2005.09.022
236,automatic 3-d grayscale volume matching and shape analysis,2006,10.1109/TITB.2005.863875
237,nanofabrication of negative refractive index metasurfaces,2006,10.1016/j.mee.2006.01.197
238,fabrication-induced disorder in structures for nanophotonics,2006,10.1016/j.mee.2006.01.131
239,an extraction method for apoptotic cells from videomicroscopy images,2006,
240,dynamic analysis of torsional resonance mode of atomic force microscopy and its application to in-plane surface property extraction,2006,
241,rapid-turnaround characterization methods for mram development,2006,10.1147/rd.501.0055
242,unusual defects in silicon carbide thin films grown by multiple or interrupted growth technique,2006,10.1016/j.mee.2005.10.013
243,image analysis and modeling of spherical and channel microstructures of fuel-cell materials,2005,10.1109/TNANO.2005.851435
244,"a multicellular systems biology model predicts epidermal morphology, kinetics and ca2+ flow",2005,10.1093/bioinformatics/bti585
245,dark current characteristics of thermally treated contacts on gan-based ultraviolet photodetectors,2005,10.1016/j.mee.2005.03.017
246,electrical characteristics of gan-based metal-oxide-semiconductor (mos) structures,2005,10.1016/j.mee.2005.03.007
247,2005 special issue: refining competition in the self-organising tree map for unsupervised biofilm image segmentation,2005,10.1016/j.neunet.2005.06.032
248,a granulometric analysis of specular microscopy images of human corneal endothelia,2005,
249,micro- and nanoxerography in liquids - controlling pattern definition,2005,10.1016/j.mee.2004.12.043
250,on recovering the shape of a domain from the trace of the heat kernel,2005,10.1137/S0036139903424928
251,high performance resist for euv lithography,2005,10.1016/j.mee.2004.08.003
252,control of the quality of laser surface texturing,2008,
253,adhesion study of escherichia coli cells on nano-/microtextured surfaces in a microfluidic system,2008,10.1109/TNANO.2008.2002649
254,segmentation of microorganism in complex environments,2013,10.1134/S1054661813040056
255,microstructural study of zno nanostructures by rietveld analysis,2011,10.1155/2011/643126
256,influence of synthesis conditions on the physicochemical properties and catalytic activity of fe/cr-pillared bentonites,2012,10.1155/2012/237853
257,texture of atomic layer deposited ruthenium,2010,10.1016/j.mee.2009.11.020
258,spray deposited carbon nanotubes for organic vapor sensors,2014,10.1016/j.mejo.2014.09.007
259,study on thermal performance of high power led employing aluminum filled epoxy composite as thermal interface material,2014,10.1016/j.mejo.2014.05.011
260,multiwalled carbon nanotube-polyimide nanocomposite for mems piezoresistive pressure sensor applications,2014,10.1007/s00542-013-1927-4
261,effect of thermal annealing on electrical and structural properties of ni/au/n-gan schottky contacts,2014,10.1016/j.mee.2014.10.003
262,"effect of pyrolysis temperature on the electrical, optical, structural, and morphological properties of ito thin films prepared by a sol-gel spin coating process",2014,10.1016/j.mee.2014.09.009
263,segmentation of thin section images for grain size analysis using region competition and edge-weighted region merging,2014,10.1016/j.cageo.2014.07.002
264,histology image search using multimodal fusion,2014,10.1016/j.jbi.2014.04.016
265,a multi-layered segmentation method for nucleus detection in highly clustered microscopy imaging: a practical application and validation using human u2os cytoplasm---nucleus translocation images,2014,10.1007/s10462-013-9415-x
266,fractal analysis and fuzzy c-means clustering for quantification of fibrotic microscopy images,2014,10.1007/s10462-013-9408-9
267,rapid-manufacturing of micro-structured devices based on mwcnts/pp composites by using hot embossing replication process,2014,10.1007/s00542-013-1999-1
268,an in silico case study of idiopathic dilated cardiomyopathy via a multi-scale model of the cardiovascular system,2014,10.1016/j.compbiomed.2014.06.013
269,virtual city: an individual-based digital environment for human mobility and interactive behavior,2014,10.1177/0037549714531061
270,modeling and analysis for streaming service systems,2014,10.1007/s11633-014-0812-7
271,non-destructive evaluation of stacking sequence in textile composite: different techniques and experimental verification,2014,10.1108/AA-05-2013-047
272,non-vector space approach for nanoscale motion control,2014,10.1016/j.automatica.2014.04.018
273,diamond nanoprobes for electrical probing of nanoelectronics device structures,2014,10.1016/j.mee.2014.02.024
274,modeling the onset of shear boundary layers in fibrous composite reinforcements by second-gradient theory,2014,10.1007/s00033-013-0347-8
275,a driver behavior-based lane-changing model for urban arterial streets,2014,10.1287/trsc.1120.0435
276,focused ion beam fabrication and atomic force microscopy characterization of micro/nanoroughness artifacts with specified statistic quantities,2014,10.1109/TNANO.2014.2311103
277,generation and analysis of a large-scale urban vehicular mobility dataset,2014,10.1109/TMC.2013.27
278,obtaining a spiral path for machining stl surfaces using non-deterministic techniques and spherical tool,2014,10.1016/j.cad.2014.01.007
279,macroscopic and microscopic deformation coupling in up-sampled cloth simulation,2014,10.1002/cav.1589
280,ensemble classification of colon biopsy images based on information rich hybrid features,2014,
281,polymer filling behaviors with various levels of imprinting velocity in nanoimprint lithography,2014,
282,a novel multiple hypothesis based particle tracking method for clathrin mediated endocytosis analysis using fluorescence microscopy,2014,10.1109/TIP.2014.2303633
283,"structural, electrical, and optical properties of faceted in$_{2",2014,10.1109/TNANO.2014.2304963
284,does deblurring improve geometrical hyperspectral unmixing?,2014,10.1109/TIP.2014.2300822
