title,abstract,keywords,type,year,journal,doi
Annealing Effect on the Formation of In(Ga)As Quantum Rings From InAs Quantum Dots,"The correlation between the In(Ga)As quantum rings (QRs) and their precursors InAs quantum dots (QDs) are studied by changing the annealing time after the deposition of a thin InAs layer on GaAs. The atomic force microscopy and photoluminescence (PL) are used to characterize the morphologies and electronic states of QDs and QRs. The longer annealing time tends to enlarge the QD size to high aspect ratio, group InAs islands into several different sizes, and red-shift the PL peak. The resultant QRs show the ridge-confined rings and the PL peaks of QRs blue-shift with increasing QD aspect ratio. It demonstrates an important way to tailor the electronics states of QRs.",Quantum dots;Annealing;Gallium arsenide;Atomic force microscopy;Molecular beam epitaxial growth;Optical microscopy;Atom optics;Temperature;Atomic layer deposition;Photoluminescence;Adatom migration;annealing time;elastic relaxation;quantum dots (QDs);quantum rings (QRs),ARTICLE,2008,IEEE Photonics Technology Letters,10.1109/LPT.2007.912481
"Rapid, localized synthesis of titanium-based nanoswords on MEMS","Herein, we report the discovery of a uniquely-shaped, titanium-based nanostructure called a ""nanosword,"" utilizing MEMS as the platform and using a rapid and localized induction heating system. The simple synthesis technique yields high-quality nanostructures with a rare shape that is broad and flat, tapering to a sharp tip with a curvature as low as 2 nm. Sans catalyst and self-sourced from an evaporated layer of titanium, they are synthesized in only 2-5 minutes by the selective heating of ring-shaped microstructures. Growth rates were observed to be 1- 2 mum/min and increases in both the nanosword quality and density were observed by increasing the synthesis temperature and source material volume, respectively. The resistivity averaged 0.192Omega-cm. Such high-quality, sharp-tipped nanostructures could be used in applications like nanoswitches, nanocantilevers, nanoprobes, or plasmonic applications such as surface-enhanced Raman spectroscopy and apertureless near-field scanning optical microscopy.",Micromechanical devices;Optical microscopy;Shape;Titanium;Heating;Microstructure;Temperature;Nanostructured materials;Optical materials;Conductivity,INPROCEEDINGS,2008,2008 IEEE 21st International Conference on Micro Electro Mechanical Systems,10.1109/MEMSYS.2008.4443751
Reconstruction of Cellular Biological Structures from Optical Microscopy Data,"Developments in optical microscopy imaging have generated large high-resolution data sets that have spurred medical researchers to conduct investigations into mechanisms of disease, including cancer at cellular and subcellular levels. The work reported here demonstrates that a suitable methodology can be conceived that isolates modality-dependent effects from the larger segmentation task and that 3D reconstructions can be cognizant of shapes as evident in the available 2D planar images. In the current realization, a method based on active geodesic contours is first deployed to counter the ambiguity that exists in separating overlapping cells on the image plane. Later, another segmentation effort based on a variant of Voronoi tessellations improves the delineation of the cell boundaries using a Bayesian formulation. In the next stage, the cells are interpolated across the third dimension thereby mitigating the poor structural correlation that exists in that dimension. We deploy our methods on three separate data sets obtained from light, confocal, and phase-contrast microscopy and validate the results appropriately.",Optical microscopy;Biomedical optical imaging;Image reconstruction;Image segmentation;High-resolution imaging;Optical imaging;Biomedical imaging;Diseases;Cancer;Shape;Segmentation;Region growing;partitioning;Size and shape;Image Representation;Image Processing and Computer Vision;Image-based rendering;Segmentation;Region growing;partitioning;Size and shape;Image Representation;Image Processing and Computer Vision;Image-based rendering,ARTICLE,2008,IEEE Transactions on Visualization and Computer Graphics,10.1109/TVCG.2008.30
Segmentation And Quantification Of The Cupriavidus Sp. Bacterium Using Microscopy Images,We present a simple technique to isolate and detect Cupriavidus sp. bacterium in microscopy images as a non-destructive means to monitor the growth and evolution of the bacteria. The approach uses OTSU binarization on the saturation channel of the bacteria sample images followed by morphological processing. This method of analysis has significantly speeded up the monitoring of biomass production from Cupriavidus sp. Bacteria at our laboratories.,Image segmentation;Microscopy;Microorganisms;Chemical analysis;Plastics;Image processing;Monitoring;System testing;Costs;Image color analysis,INPROCEEDINGS,2008,"2008 International Conference on Signal Processing, Communications and Networking",10.1109/ICSCN.2008.4447208
Optical Forces on a Quantum Dot in Metallic Bowtie Structures,"We present a numerical scheme to calculate the electromagnetic force on a quantum dot in the near-field of subwavelength metallic nano-structures. As an application, we examine the forces on a quantum dot placed in the center of a gold nano-structure. The forces on the quantum dot are calculated using an adaptive mesh refinement finite-difference time-domain code combined with microscopic material equations. Is is shown that the dot may be laterally confined in the proposed geometry.",Quantum dots;Nanobioscience;Time domain analysis;Finite difference methods;Biomedical optical imaging;Resonance;Electromagnetic forces;Gold;Adaptive mesh refinement;Optical microscopy;Finite-difference time-domain (FDTD) methods;nanotechnology;numerical analysis;quantum dots,ARTICLE,2008,IEEE Photonics Technology Letters,10.1109/LPT.2008.916951
Study of fabricated system based on laser,"A digital multifunctional laser machining system, including mechanical structure, software of computer and control system, is designed. After briefly describing the laser machining system and principle of data processing, some objects are processed by CO2 laser (75W). By analyzing experimental data and adding in error compensation, the structures with better quality are machined. In order to realize micro fabrication, a ultraviolet laser replaces CO2 laser. With different laser parameters, some micro silicon structures will be fabricated. And a morphological characteristic is evaluated by optical microscopy.",Machining;Optical microscopy;Software;Optical control;Control systems;Optical design;Data processing;Data analysis;Error compensation;Optical device fabrication;fabricated system;ultraviolet laser;micro fabrication;control system;silicon,INPROCEEDINGS,2008,2008 3rd IEEE International Conference on Nano/Micro Engineered and Molecular Systems,10.1109/NEMS.2008.4484420
Titanium-based nanoswords: Synthesis and characterization,"In this work, we report the discovery of a novel, titanium-based nanostructure, a “nanosword,” that may be quickly and easily synthesized in bulk using an induction heating system. The nanoswords are high-quality, single-crystalline structures that are synthesized without catalysts. The self-sourcing, vapor-solid synthesis technique presented is quick, with synthesis occurring in as low as five minutes, and simple, necessitating only a thin-film of evaporated titanium. Using scanning electron microscopy and transmission electron microscopy, the observed thicknesses of the nanoswords were 200–700nm, widths were 20–60nm, and lengths were up to 5μm. The ends of the nanoswords taper at an angle of 78–82° to a sharp tip with radius of curvature as low as 2nm at an angle of 110– 114°. Strong peaks of titanium and oxygen were observed in the energy dispersive x-ray spectroscopy. The reaction temperature was observed to influence the nanosword structure, with the best synthesis occurring at approximately 890°C. Three-point bend tests were performed using an atomic force microscope, and the average modulus of elasticity was measured to be 177GPa. The nanosword structures, with their unique shape, repeatable crystallinity, and simple synthesis technique may be used as field emitters, nanobioprobes, nanoswitches, or for plasmonic applications, such as apertureless near-field scanning optical microscopy tips or localized surface enhanced Raman spectroscopy.",Titanium;Scanning electron microscopy;Transmission electron microscopy;Spectroscopy;Nanostructures;Atomic measurements;Atomic force microscopy;Force measurement;Optical microscopy;Transistors;Induction Heating;Metal Oxides;Nanoswords;Rapid Synthesis;Titania;Titanium-Based,INPROCEEDINGS,2008,2008 3rd IEEE International Conference on Nano/Micro Engineered and Molecular Systems,10.1109/NEMS.2008.4484491
Apoptosis-Inducing Effect of Caspase-3 Over-Expressed on Gastric Cancer Cell Line SGC7901,"To investigate the apoptosis-inducing effect of Caspases-3 expressed by constructed eukaryotic vector on gastric cancer cell line SGC7901.PCR was employed to amplify the sequences of both small and large subunits of Caspases-3. Its products were separately cloned into the Sma I site of pBluescript KS+ to generate both plasmids pBS/SS and pBS/LS. The small subunit fragment was excised from plasmid pBS/SS with BamH I and then inserted into the BamH I site of plasmid pBS/LS preceding that of the large subunit to yield plasmid pBS/Rev-Caspase-3. Rev-Caspase-3 cDNA was excised with Kpn I+Xba I and then subcloned into plasmid pcDNA3.1 (+) to construct Rev-Caspase-3 eukaryotic expression vector pcDNA/Rev-Caspase-3, which was used to transiently transfect SGC7901 cell line. Cell count, MTT assay and electron microscopy were used to confirm the antiproliferation and apoptosis-inducing effect of Rev-Caspase-3 expression on gastric cancer cells.Plasmid pBS/Rev-Caspase-3 and eukaryotic expression vector pcDNA/Rev-Caspase-3 were successfully constructed. SGC7901 cells were transiently transfected by either pcDNA/Rev-Caspase-3 or pcDNA3.1 (+) for 24, 48, 72, and 96 h respectively. Cell growth was measured by cell count and MTT assay. In cell count assay, the cell numbers were 1.8times106, 1.55times106, 2.0times106, and 3.1times106 in the experimental group and 2.5times106, 3.1times106, 4.0times106, and 5.7times106 in the control group at 24, 48, 72 and 96 h respectively. The growth of SGC7901 cells was suppressed by Rev-Caspase-3 in a time-dependent manner (P<0.05). The results of MTT assay were similar to that of cell count (P<0.05). The characteristics of apoptosis such as chromatin condensation, crescent formation and margination were seen and more obvious with time in the given-experimental period in the experimental group, but not easily observed in the control group.The expression of Rev-Caspase-3 by the apoptosis of gastric cancer cell line SGC7901, which may exhibit a potential way in gastric cancer gene therapy.",Cancer;Oncological surgery;Hospitals;Application specific processors;Cardiology;Electron microscopy;Gene therapy;Amino acids;Biochemistry;Signal processing,INPROCEEDINGS,2008,2008 2nd International Conference on Bioinformatics and Biomedical Engineering,10.1109/ICBBE.2008.106
Segmentation of Microscopic Images for Counting Leukocytes,"Counting of leukocytes in peripheral blood is commonly used in basic clinical diagnosis. The reliable approach to count leukocytes depends on morphological assessment of cellular materials under a light microscopy. Microscopic evaluation by medical technologists is a time-consuming and stuffy job. It is of interest to apply computer-aided analysis with image processing and pattern recognition, instead of human to count leukocytes. In this paper, a novel segmentation method is developed to count leukocytes by incorporating textural information. The proposed method integrates a non-decimated (or called shift invariant) complex wavelet transform into watershed segmentation, and uses information obtained by adaptive threshold segmentation to refine the result of watershed segmentation. Experiments demonstrate that the proposed method can obtain satisfactory results in comparison with the judgments of medical technologists.",Image segmentation;Microscopy;White blood cells;Biomedical imaging;Medical diagnostic imaging;Clinical diagnosis;Materials reliability;Biological materials;Computer aided analysis;Image processing,INPROCEEDINGS,2008,2008 2nd International Conference on Bioinformatics and Biomedical Engineering,10.1109/ICBBE.2008.985
Automated gland and nuclei segmentation for grading of prostate and breast cancer histopathology,"Automated detection and segmentation of nuclear and glandular structures is critical for classification and grading of prostate and breast cancer histopathology. In this paper, we present a methodology for automated detection and segmentation of structures of interest in digitized histopathology images. The scheme integrates image information from across three different scales: (1) low- level information based on pixel values, (2) high-level information based on relationships between pixels for object detection, and (3) domain-specific information based on relationships between histological structures. Low-level information is utilized by a Bayesian classifier to generate a likelihood that each pixel belongs to an object of interest. High-level information is extracted in two ways: (i) by a level-set algorithm, where a contour is evolved in the likelihood scenes generated by the Bayesian classifier to identify object boundaries, and (ii) by a template matching algorithm, where shape models are used to identify glands and nuclei from the low-level likelihood scenes. Structural constraints are imposed via domain- specific knowledge in order to verify whether the detected objects do indeed belong to structures of interest. In this paper we demonstrate the utility of our glandular and nuclear segmentation algorithm in accurate extraction of various morphological and nuclear features for automated grading of (a) prostate cancer, (b) breast cancer, and (c) distinguishing between cancerous and benign breast histology specimens. The efficacy of our segmentation algorithm is evaluated by comparing breast and prostate cancer grading and benign vs. cancer discrimination accuracies with corresponding accuracies obtained via manual detection and segmentation of glands and nuclei.",Glands;Breast cancer;Image segmentation;Cancer detection;Pixel;Object detection;Bayesian methods;Layout;Prostate cancer;Data mining;Prostate cancer;Breast cancer;Segmentation;Detection;Grading,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4540988
Color and texture based segmentation of molecular pathology images usING HSOMS,"Prostate cancer is the most common cancer among men, excluding skin cancer. It is diagnosed by histopathology interpretation of Hematoxylin and Eosin (H&E)-stained tissue sections. Gland and nuclei distributions vary with the disease grade, and the morphological features vary with the advance of cancer. A tissue microarray with known disease stages can be used to enable efficient pathology slide image analysis. We focus on an intuitive approach for segmenting such images, using the Hierarchical Self-Organizing Map (HSOM). Our approach introduces the use of unsupervised clustering using both color and texture features, and the use of unsupervised color merging outside of the HSOM framework. The HSOM was applied to segment 109 tissues composed of four tissue clusters: glands, epithelia, stroma, and nuclei. These segmentations were compared with the results of an EM Gaussian clustering algorithm. The proposed method confirms that the self-learning ability and adaptability of the HSOM, coupled with the information fusion mechanism of the hierarchical network, leads to superior segmentation results for tissue images.",Image segmentation;Pathology;Glands;Diseases;Prostate cancer;Skin cancer;Biological tissues;Image color analysis;Image texture analysis;Merging;Molecular pathology;Hematoxylin and Eosin staining (H&E);Hierarchical selforganizing maps (HSOM);Color and texture segmentation;Feature extraction;Region merging;prostate cancer;Tissue microarray (TMA);Gleason score;Tumor staging;k-means clustering,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4540990
Multi-modal imaging of histological tissue sections,"Two common imaging modalities for histological sections are brightfield and fluorescence microscopy imaging. Hematoxylin-Eosin (H&E) based brightfield microscopy has been the traditional imaging technique for imaging morphology, while an epi-fluorescent microscope is used for immunofluorescent staining of specific proteins or fluorescent in situ hybridization (FISH) for genetic based analysis of DNA. Simultaneous imaging of both microscopy modalities has been difficult due to optical and chemical effects of the H&E dyes. We present a novel sequential imaging and registration technique that enables brightfield and fluorescent imaging on the same tissue section, hence combining the traditional anatomic pathology with the newly emerging field of molecular pathology. First the tissue is labeled with fluorescent biomarkers, and imaged through a fluorescence microscope, and then the tissue is re-labeled with H&E dyes, and imaged again with traditional brightfield. Our robust registration algorithms achieve 99.8% registration success rate on tissue micro array (TMA) sections.",Optical imaging;Fluorescence;Optical microscopy;Pathology;Morphology;Immune system;Proteins;Marine animals;Genetics;Image analysis;Image Registration;Brightfield Microscopy;Fluorescent Microscopy,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4540989
Automated localization and quantification of protein multiplexes via multispectral fluorescence imaging,"We present a new system for automated localization and quantification of the expression of protein biomarkers in immunofluorescence (IF) microscopic images. The system includes a novel method for discriminating the biomarker signal from background, where signal may be the expression of any of the many biomarkers or counterstains used in IF. The method is based on supervised learning and represents the biomarker intensity threshold as a function of image background characteristics. The utility of the proposed system is demonstrated in predicting prostate cancer recurrence in patients undergoing prostatectomy. Specifically, features representing androgen receptor (AR) expression are shown to be statistically significantly associated with poor outcome in univariate analysis. AR features are also shown to be valuable for multivariate recurrence prediction.",Proteins;Fluorescence;Biomarkers;Pixel;Microscopy;Prostate cancer;Image color analysis;Image segmentation;Laboratories;Multispectral imaging;Fluorescence microscopy;multispectral imaging;immunofluorescence;image thresholding;prostate cancer,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4540992
Unsupervised segmentation of cell nuclei using geometric models,Fluorescent microscopy of biological samples allows non-invasive screening of specific molecular events in-situ. This approach is useful for investigating intricate signalling pathways and in the drug discovery process. The large volumes of data involved in image analysis are a limiting factor. As manual image interpretation relies on expensive manpower automated analysis is a far more appropriate solution. In this paper we discuss our approach to achieve reliable automated segmentation of individual cell nuclei from wide field images taken of prostate cancer cells. We present a novel analysis routine to accurately identify cell nuclei based upon intensity clustering and morphological validation using a data derived geometric model. This approach is shown to consistently outperform the standard analysis technique using real data.,Solid modeling;Image analysis;Microscopy;Fluorescence;Cells (biology);Biological system modeling;Drugs;Image segmentation;Prostate cancer;Biological systems;Model-based segmentation;Fluorescence;Microscopy;Screening,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4541099
Scoring histological sections through immunohistochemistry,"Immunohistochemical staining of biological samples provides a rapid protocol for visualizing various complexes and organelles. However, this method of sample staining is seldom used for direct quantitative analysis due to variations in sample fixations, ambiguities introduced by color composition, and the limited dynamic range of imaging in struments. We demonstrate that, through the decomposition of color signals, staining can be scored on a cell-by-cell basis. We applied our method to fibroblasts grown from histologically normal breast tissue biopsies obtained from two populations. Nuclear regions are initially segmented by a cascade of filters and geometric constraints. Subsequently, the strength of staining is quantified by a color decomposition model that is optimized by graph cut algorithm. By including color decomposition in the process, nuclear segmentation can be validated (corrected) for subsequent geometric representation. Finally, signal complexes are associated with each nuclear region following region-based Voronoi tessellation.",Immune system;Image color analysis;Protocols;Visualization;Image analysis;Dynamic range;Instruments;Fibroblasts;Breast tissue;Breast biopsy;Image Segmentation;Color Processing,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4541003
Automatic cell segmentation from confocal microscopy images of the Arabidopsis root,"In vivo observation and tracking of cell division in the Arabidopsis thaliana root meristem, by time-lapse confocal microscopy, is central to biology research. The research herein described is based on large amount of image data, which must be analyzed to determine the location and state of cells. The possibility of automating the process of cell detection/marking is an important step to provide research tools to the biologists in order to ease the search for a special event as cell division. This paper discusses an automatic cell segmentation method, which selects the best cell candidates from a starting watershed based image segmentation. The selection of individual cells is obtained using a Support Vector Machine (SVM) classifier, based on the shape and edge strength of the cells’ contour. The resulting segmentation is largely pruned of badly segmented cells, which can reduce the false positive detection of cell division. This is a good result on its own and a starting point for improvement of cell segmentation methodology.",Image segmentation;Microscopy;Cells (biology);Support vector machines;Support vector machine classification;In vivo;Image analysis;Event detection;Shape;Image edge detection;Biomedical image processing;Image processing;Image segmentation;Biological cells,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4541095
Fast registration-based automatic segmentation of serial section images for high-resolution 3-D plant seed modeling,"We propose a deformation-based approach for fast and robust segmentation of histological section images into multiple tissues. Derived from deformable registration techniques, it does not solely rely on information present in the image, but uses a-priori information in terms of reference segmentations. The experimental evaluation against state-of-the-art feature based classifiers demonstrates the high performance in segmentation accuracy and the effectiveness of this approach. This serves as basis for processing high-resolution serial section datasets comprising several thousand images towards three-dimensional atlases of plant organs.",Image segmentation;Microscopy;Image reconstruction;Robustness;Biological system modeling;Rendering (computer graphics);Biological materials;Pixel;Deformable models;Genetics;Image segmentation;Image registration;Modeling;Biomedical microscopy,INPROCEEDINGS,2008,2008 5th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,10.1109/ISBI.2008.4541005
