PMID,title,Authors,Citation,First Author,Journal/Book,year,Create Date,PMCID,NIHMS ID,doi,abstract
15567184,On a relaxation-labelling algorithm for quantitative assessment of tumour vasculature in tissue section images,"Loukas CG, Linney A.",Comput Biol Med. 2005 Feb;35(2):157-71. doi: 10.1016/j.compbiomed.2003.12.004.,Loukas CG,Comput Biol Med,2005,2004/11/30,,,10.1016/j.compbiomed.2003.12.004,"Although tumour vasculature constitutes a biological factor playing a crucial role in the radiation response of tumours, the current procedures of assessment are semiquantitative, typically employing visual examination of stained histological material. Such techniques are also time consuming, and inefficient of extracting essential information on the vascular network. Image analysis has yet to contribute significantly in this direction, and most studies to date focus on blood vessel segmentation through empirical, user-selected thresholds. The present paper proposes an alternative segmentation approach, based on a probabilistic relaxation algorithm, applied in microscopic images of stained tissues. After image partitioning various information is obtained, such as vascular domains and geometrical characteristics of vessels."
15664286,Visualisation of calcifications and thin collagen strands in human breast tumour specimens by the diffraction-enhanced imaging technique: a comparison with conventional mammography and histology,"Keyriläinen J, Fernández M, Fiedler S, Bravin A, Karjalainen-Lindsberg ML, Virkkunen P, Elo EM, Tenhunen M, Suortti P, Thomlinson W.",Eur J Radiol. 2005 Feb;53(2):226-37. doi: 10.1016/j.ejrad.2004.03.015.,Keyriläinen J,Eur J Radiol,2005,2005/01/25,,,10.1016/j.ejrad.2004.03.015,"Six excised human breast tissue specimens carrying benign and malignant tumours were examined with the diffraction-enhanced imaging technique. Diffraction-enhanced images were compared with diagnostic screen-film mammograms and the correlation with histological information of the specimens was established. The enhanced visibility of calcifications, some of which were smaller than 0.15 mm in diameter, is reported in detail. Fine details of the structures such as strands of collagen and contours between glandular and adipose tissue, which are barely visible at the contrast detection limit in the conventional absorption-based mammograms, are clearly visible in the diffraction-enhanced images. Microscopic study of the stained histopathological sections unequivocally confirms the correlation of the radiographic findings with the morphologic changes in specimens. An increased soft tissue contrast and a combination of information obtained with disparate diffraction-enhanced images provide better visibility of mammographically indistinguishable features. This kind of additional structural information of the breast tissue is required to improve assessment accuracy and earlier detection of the breast lesions. These advances in image quality make the method a very promising candidate for mammography."
15681017,Modeling the surface contamination of dental titanium investment castings,"Atwood RC, Lee PD, Curtis RV.",Dent Mater. 2005 Feb;21(2):178-86. doi: 10.1016/j.dental.2004.02.010.,Atwood RC,Dent Mater,2005,2005/02/01,,,10.1016/j.dental.2004.02.010,"OBJECTIVE: The objective of this study was to develop a computational tool for assisting the design of titanium dental castings with minimal defects and to compare computational simulations with casting experiments. METHODS: Modeling. An in-house cellular-automata solidification and finite-difference diffusion program was coupled with a commercial casting program and applied to (a) simple geometric wedge models and (b) a 3D-laser scan of a molar crown casting. Experimental. Wedges and molar crowns were hand-waxed and investment cast in commercial purity grade 1 (CP-1) titanium by a commercial dental laboratory. The castings were sectioned and analyzed using light and scanning electron microscopy, X-ray microanalysis, and microhardness testing. RESULTS: In the wedge sample, contamination with impurities (Al, Si), including intermetallic precipitates, was found to extend to a depth ranging from 30 to 120 microm depending on the section thickness and hence the local cooling rate. Microstructural and mechanical (hardness) effects were found to a depth ranging from 80 to 250 microm. The coupled micro/macro model predictions showed reasonable agreement for the pattern of contamination. SIGNIFICANCE: Dental and medical applications demand close dimensional tolerance and freedom from surface impurities and structural flaws in castings having unique shapes. The ability to predict the structural, mechanical, and chemical changes resulting from the casting process will help to design the casting and post-casting processes to minimize these problems."
15691253,Predictive power of irregular border shapes for malignant melanomas,"Lee TK, Claridge E.",Skin Res Technol. 2005 Feb;11(1):1-8. doi: 10.1111/j.1600-0846.2005.00076.x.,Lee TK,Skin Res Technol,2005,2005/02/05,,,10.1111/j.1600-0846.2005.00076.x,"BACKGROUND/PURPOSE: The Irregularity Index is a measure of border irregularity from pigmented skin lesion images. The measure attempts to quantify the degree of irregularity of the structural indentations and protrusions along a lesion border. A carefully designed study has shown that the parameters derived from the Irregularity Index were highly correlated with expert dermatologists' notion of border shape. This paper investigates the predictive power of these parameters on a set of data with known histological diagnosis. METHODS: A set of 188 pigmented skin lesions (30 malignant melanomas and 158 benign lesions) was selected for the study. Their images were segmented and their border shapes were analysed by the Irregularity Index, producing four border irregularity parameters. The predictive power of these four parameters was estimated by a series of statistical tests. RESULTS: The mean values of the four border irregularity parameters were significantly different between the melanoma group and the benign lesion group. When using the four parameters to predict its disease status, the leave-one-out classification rate was 82.4%, and the area under the receiver operating characteristic curve was 0.77. A malignant melanoma was 8.9 times more likely to have an irregular border than a benign lesion. CONCLUSION: This study confirmed that border irregularity is an important clinical feature for the diagnosis of malignant melanoma. It also indicates that the computer-derived measures based on the Irregularity Index capture to certain extent the kind of irregularity which is exhibited by melanomas."
15739563,Diffusion tensor analysis of peritumoral edema using lambda chart analysis indicative of the heterogeneity of the microstructure within edema,"Morita K, Matsuzawa H, Fujii Y, Tanaka R, Kwee IL, Nakada T.",J Neurosurg. 2005 Feb;102(2):336-41. doi: 10.3171/jns.2005.102.2.0336.,Morita K,J Neurosurg,2005,2005/03/03,,,10.3171/jns.2005.102.2.0336,"OBJECT: Histopathological studies indicate that cerebral edema associated with tumors (peritumoral edema) does not represent a single pathophysiological or clinical entity. In this study the authors investigated peritumoral edema by performing lambda chart analysis (LCA), a noninvasive technique that can be used to make visible and analyze apparent water diffusivity in tissues in vivo, and assessed the utility of LCA in differentiating high-grade gliomas from nonglial tumors. METHODS: The water diffusivity characteristics of peritumoral edema associated with four tumor groups-12 high-grade gliomas, five low-grade gliomas, 11 metastatic tumors, and 15 meningiomas-were assessed in 43 patients by performing magnetic resonance imaging with the aid of a 3-tesla magnetic resonance imaging system. In all tumor groups, peritumoral edema exhibited greater trace values and reduced anisotropy compared with normal white matter. Edema associated with high-grade gliomas had significantly higher trace values than edema associated with the other three tumor groups, although the anisotropic angles of those groups were comparable. CONCLUSIONS: Lambda chart analysis identified two distinct types of peritumoral edema: edema associated with high-grade gliomas and edema associated with low-grade gliomas or nonglial tumors. The apparent water diffusivity was significantly greater in high-grade gliomas, whereas the anisotropy in these lesions was comparable to that of edema in other tumors. These findings indicated that water movement in areas of edema, predominantly in the extracellular spaces, was less restricted in high-grade gliomas, a phenomenon that likely reflected the destruction of the extracellular matrix ultrastructure by malignant cell infiltration and consequently greater water diffusion. Although preliminary, this study indicates that LCA could be used as a clinical tool for differentiating high-grade gliomas and for evaluating the extent of cellular infiltration."
15670694,The effect of small rotations on R2* measured with echo planar imaging,"Caparelli EC, Tomasi D, Ernst T.",Neuroimage. 2005 Feb 15;24(4):1164-9. doi: 10.1016/j.neuroimage.2004.11.011. Epub 2005 Jan 5.,Caparelli EC,Neuroimage,2005,2005/01/27,,,10.1016/j.neuroimage.2004.11.011,"Several modern MRI techniques, such as functional MRI (fMRI), rely on the detection of microscopic changes in magnetic susceptibility. However, differences in magnetic susceptibility between brain tissue, bone, and air also produce local magnetic field gradients that may interfere with the contrast of interest, particularly at high field strengths. Since the magnetic field distribution depends on the orientation of the human head in the MRI scanner, head rotations can change the effective transverse relaxation rate (R(2)*) and confound fMRI studies. The size of the R(2)* changes produced by small head rotations was estimated from a brain-shaped gel-phantom at 4 T, by measuring the signal decay at 96 different echo times. Similar measurements were carried out in a human study. Rotations larger than 2 degrees changed R(2)* more than 1.5 Hz in the phantom, and indicate that even small rotations may compromise fMRI results."
15696533,High-resolution 8 Tesla imaging of the formalin-fixed normal human hippocampus,"Chakeres DW, Whitaker CD, Dashner RA, Scharre DW, Beversdorf DQ, Raychaudhury A, Schmalbrock P.",Clin Anat. 2005 Mar;18(2):88-91. doi: 10.1002/ca.10232.,Chakeres DW,Clin Anat,2005,2005/02/08,,,10.1002/ca.10232,"The purpose of this study was to evaluate the capacity of high-resolution magnetic resonance imaging (MRI) to visualize the normal anatomic features of the human hippocampus in vitro, using high field imaging equipment, parameters, and acquisition times appropriate for imaging human subjects in vivo. This research compared high field, high-resolution MRI of formalin-fixed normal human hippocampus specimens to histologic sectioning of the same hippocampus samples. Four specimens were evaluated using an 8 Tesla (T), 80 cm bore whole-body MRI scanner equipped with a 12.7 cm single strut transverse electromagnetic resonator (TEM) coil. Hahn spin echo images were acquired with a repetition time (TR) of 800 msec, echo times (TE) of 20, 50, 90, and 134 msec, and an acquisition time (TA) of 3.25 min. The image quality was superb with demonstration of most of the features of the hippocampus. High field, high-resolution MRI can be used to depict multiple layers of the formalin-fixed human hippocampus in vitro using an 8 T whole-body scanner, a TEM coil, and short acquisition times compatible with human imaging in vivo."
15701083,The combination of the Zenon labeling technique and microscopic image analysis to study cell populations in normal and psoriatic epidermis,"van Duijnhoven MW, van de Kerkhof PC, Pasch MC, Muys L, van Erp PE.",J Cutan Pathol. 2005 Mar;32(3):212-9. doi: 10.1111/j.0303-6987.2005.00290.x.,van Duijnhoven MW,J Cutan Pathol,2005,2005/02/11,,,10.1111/j.0303-6987.2005.00290.x,"BACKGROUND: In order to better characterize epidermal cell populations in psoriatic vs. normal skin, fluorescent immunohistochemical techniques were extended with a new labeling technique. The Zenon technique conjugates primary antibodies rapidly and quantitatively after which they are used in the same manner as covalently labeled primary antibodies. Digital microscopic images of epidermal expression of keratin 10 and keratin 6 (differentiation), Ki-67 antigen (proliferation), and keratin 15 and beta-1 integrin (basal layer) were analyzed in a standardized way. Co-expression of different proteins was demonstrated. METHODS: Sections of normal skin and psoriatic lesions were compared immunohistochemically. Antibodies against keratin 6, 10, and 15 were labeled with the Zenon technique. Antibodies against the Ki-67 antigen and beta-1 integrin were covalently fluorescein isothiocyanate-labeled. Using standardized image analysis, intensity and positive surface area of the different antibodies in the epidermis were measured. RESULTS: The number of Ki-67-antigen positive cells was significantly increased in lesional psoriatic skin. Intensity and positive surface area of keratin 10 and beta-1 integrin were significantly decreased in comparison to normal epidermis. Differential expression of keratin 6 and keratin 15 was demonstrated. CONCLUSIONS: Using Zenon technology and image analysis, a description of morphology, co-expression, and quantification of representative markers for epidermal cell populations is possible."
15743319,Significant correlation of morphological remodeling in ulcerative colitis with disease duration and between elevated p53 and p21 expression in rectal mucosa and neoplastic development,"Mitsuhashi J, Mikami T, Saigenji K, Okayasu I.",Pathol Int. 2005 Mar;55(3):113-21. doi: 10.1111/j.1440-1827.2005.01802.x.,Mitsuhashi J,Pathol Int,2005,2005/03/04,,,10.1111/j.1440-1827.2005.01802.x,"Although a chronic inflammation-carcinoma sequence has been proposed in cases of longstanding ulcerative colitis (UC), the relationship of morphological alteration or remodeling of regenerated mucosa to carcinoma development is yet to be clarified. Therefore, mucosae of 49 resected rectae from individuals with UC were histologically and quantitatively analyzed, with regard to thickness and morphological parameters of crypts, in relation to the disease duration, clinical disease activity and neoplastic development. An immunohistochemical examination of Ki-67, p53, p21(WAF1) and ssDNA labeling was also included. Significant correlations of number, height, angle, fusion and Paneth cell metaplasia of crypts, as well as thickness of the muscularis mucosae, were revealed with disease duration, as confirmed by three-dimensional reconstructed image analysis. p53 and p21(WAF1)-positive cells increased with disease duration and were significantly more frequent in cases with neoplasia, suggesting more DNA damage. However, this was not the case for ssDNA labeling, assessed as an indicator of apoptosis. In general, histological changes and p53, p21(WAF1) and Ki-67 labeling were correlated. In conclusion, histological parameters for mucosal remodeling correlate well with UC duration, indicating accumulation of structural alterations. Accumulated damage to DNA, reflected by increased p53 and p21(WAF1) labeling indices, might be involved in cancer development, as well as longstanding inflammation."
15889423,High-resolution simultaneous three-photon fluorescence and third-harmonic-generation microscopy,"Chu SW, Tai SP, Ho CL, Lin CH, Sun CK.",Microsc Res Tech. 2005 Mar 1;66(4):193-7. doi: 10.1002/jemt.20160.,Chu SW,Microsc Res Tech,2005,2005/05/13,,,10.1002/jemt.20160,"In recent years, nonlinear laser scanning microscopy has gained much attention due to its unique ability of deep optical sectioning. Based on our previous studies, a 1,200-1,300-nm femtosecond laser can provide superior penetration capability with minimized photodamage possibility. However, with the longer wavelength excitation, three-photon-fluorescence (3PF) would be necessary for efficient use of intrinsic and extrinsic visible fluorophores. The three-photon process can provide much better spatial resolution than two-photon-fluorescence due to the cubic power dependency. On the other hand, third-harmonic-generation (THG), another intrinsic three-photon process, is interface-sensitive and can be used as a general structural imaging modality to show the exact location of cellular membranes. The virtual-transition characteristic of THG prevents any excess energy from releasing in bio-tissues and, thus, THG acts as a truly noninvasive imaging tool. Here we demonstrated the first combined 3PF and THG microscopy, which can provide three-dimensional high-resolution images with both functional molecule specificity and sub-micrometer structural mapping capability. The simultaneously acquired 3PF and THG images based on a 1,230-nm Cr:forsterite femtosecond laser are shown with a Hoechst-labeled hepatic cell sample. Strong 3PF around 450 nm from DNA-bounded Hoechst-33258 can be observed inside each nucleus while THG reveals the location of plasma membranes and other membrane-based organelles such as mitochondria. Considering that the maximum-allowable laser power in common nonlinear laser microscopy is less than 10 mW at 800 nm, it is remarkable that even with a 100-mW 1,230-nm incident power, there is no observable photo damage on the cells, demonstrating the noninvasiveness of this novel microscopy technique."
